Breed,Year,Count
Labrador Retriever,1951,2915
Rottweiler,1951,56
Saint Bernard,1951,966
Saluki,1951,28
Samoyed,1951,720
Schipperke,1951,760
Scottish Terrier,1951,3017
Sealyham Terrier,1951,334
English Setter,1951,823
Gordon Setter,1951,299
Irish Setter,1951,3131
Shetland Sheepdog,1951,2093
Siberian Husky,1951,80
Skye Terrier,1951,113
American Water Spaniel,1951,115
Clumber Spaniel,1951,14
Spaniel (All Cockers),1951,53178
English Springer Spaniel,1951,4870
Irish Water Spaniel,1951,108
Sussex Spaniel,1951,4
Welsh Springer Spaniel,1951,12
Standard Schnauzer,1951,232
Weimaraner,1951,1780
Cardigan Welsh Corgi,1951,34
Pembroke Welsh Corgi,1951,271
Welsh Terrier,1951,697
West Highland White Terrier,1951,324
Whippet,1951,122
Wirehaired Pointing Griffon,1951,16
Yorkshire Terrier,1951,209
American Staffordshire Terrier,1952,164
Affenpinscher,1952,30
Afghan Hound,1952,449
Airedale Terrier,1952,1760
Alaskan Malamute,1952,51
Basenji,1952,164
Basset Hound,1952,926
Beagle,1952,41633
Bedlington Terrier,1952,434
Belgian Sheepdog,1952,85
Black and Tan Coonhound,1952,124
Bloodhound,1952,217
Border Terrier,1952,34
Borzoi,1952,215
Boston Terrier,1952,12928
Bouvier des Flandres,1952,19
Boxer,1952,34639
Briard,1952,45
Brittany,1952,1579
Brussels Griffon,1952,158
Bull Terrier,1952,191
Bulldog,1952,3687
Bullmastiff,1952,58
Cairn Terrier,1952,585
Chihuahua,1952,15215
Chow Chow,1952,1264
Collie,1952,21144
Dachshund,1952,17760
Dalmatian,1952,2211
Dandie Dinmont Terrier,1952,65
Doberman Pinscher,1952,3817
English Toy Spaniel (Blenheim and Prince Charles),1952,81
Fox Terrier,1952,5263
American Foxhound,1952,6
English Foxhound,1952,8
French Bulldog,1952,163
German Shepherd,1952,11331
Giant Schnauzer,1952,8
Great Dane,1952,2508
Great Pyrenees,1952,195
Greyhound,1952,62
Harrier,1952,2
Irish Terrier,1952,623
Irish Wolfhound,1952,86
Italian Greyhound,1952,45
Japanese Chin,1952,119
Keeshond,1952,328
Kerry Blue Terrier,1952,1158
Kuvasz,1952,15
Lakeland Terrier,1952,38
Lhasa Apso,1952,79
Maltese,1952,133
Manchester Terrier,1952,71
Mastiff,1952,43
Miniature Pinscher,1952,1926
Miniature Schnauzer,1952,1316
Newfoundland,1952,156
Norwegian Elkhound,1952,539
Norwich Terrier,1952,142
Old English Sheepdog,1952,120
Otterhound,1952,4
Papillon,1952,55
Pekingese,1952,9714
Pointer,1952,493
German Shorthaired Pointer,1952,2266
Pomeranian,1952,7067
Poodle,1952,6127
Pug,1952,1418
Puli,1952,59
Chesapeake Bay Retriever,1952,652
Curly-Coated Retriever,1952,7
Flat-Coated Retriever,1952,1
Golden Retriever,1952,1827
Labrador Retriever,1952,3320
Rottweiler,1952,76
Saint Bernard,1952,885
Saluki,1952,43
Samoyed,1952,848
Schipperke,1952,828
Scottish Deerhound,1952,26
Scottish Terrier,1952,3034
Sealyham Terrier,1952,347
English Setter,1952,682
Gordon Setter,1952,278
Irish Setter,1952,3010
Shetland Sheepdog,1952,2597
Siberian Husky,1952,142
Skye Terrier,1952,155
American Water Spaniel,1952,149
Spaniel (All Cockers),1952,47360
English Springer Spaniel,1952,4574
Irish Water Spaniel,1952,103
Welsh Springer Spaniel,1952,24
Standard Schnauzer,1952,280
Weimaraner,1952,3005
Cardigan Welsh Corgi,1952,81
Pembroke Welsh Corgi,1952,368
Welsh Terrier,1952,835
West Highland White Terrier,1952,354
Whippet,1952,127
Wirehaired Pointing Griffon,1952,27
Yorkshire Terrier,1952,196
American Staffordshire Terrier,1953,142
Affenpinscher,1953,21
Afghan Hound,1953,420
Airedale Terrier,1953,1997
Alaskan Malamute,1953,59
Basenji,1953,189
Basset Hound,1953,1241
Beagle,1953,45398
Bedlington Terrier,1953,430
Belgian Sheepdog,1953,131
Bernese Mountain Dog,1953,1
Black and Tan Coonhound,1953,150
Bloodhound,1953,258
Border Terrier,1953,27
Borzoi,1953,131
Boston Terrier,1953,13801
Bouvier des Flandres,1953,16
Boxer,1953,38449
Briard,1953,13
Brittany,1953,1937
Brussels Griffon,1953,123
Bull Terrier,1953,240
Bulldog,1953,4038
Bullmastiff,1953,41
Cairn Terrier,1953,577
Chihuahua,1953,19300
Chow Chow,1953,1220
Collie,1953,20006
Dachshund,1953,20592
Dalmatian,1953,2335
Dandie Dinmont Terrier,1953,86
Doberman Pinscher,1953,3848
English Toy Spaniel (Blenheim and Prince Charles),1953,59
Fox Terrier,1953,5384
American Foxhound,1953,3
French Bulldog,1953,138
German Shepherd,1953,13997
Giant Schnauzer,1953,47
Great Dane,1953,2475
Great Pyrenees,1953,175
Greyhound,1953,56
Harrier,1953,1
Irish Terrier,1953,549
Irish Wolfhound,1953,94
Italian Greyhound,1953,91
Japanese Chin,1953,117
Keeshond,1953,370
Kerry Blue Terrier,1953,1227
Kuvasz,1953,6
Lakeland Terrier,1953,33
Lhasa Apso,1953,56
Maltese,1953,188
Manchester Terrier,1953,74
Mastiff,1953,28
Miniature Pinscher,1953,2172
Miniature Schnauzer,1953,1584
Newfoundland,1953,161
Norwegian Elkhound,1953,680
Norwich Terrier,1953,118
Old English Sheepdog,1953,104
Otterhound,1953,3
Papillon,1953,89
Pekingese,1953,10689
Pointer,1953,345
German Shorthaired Pointer,1953,2650
Pomeranian,1953,8150
Poodle,1953,8167
Pug,1953,1939
Puli,1953,88
Chesapeake Bay Retriever,1953,751
Curly-Coated Retriever,1953,7
Flat-Coated Retriever,1953,1
Golden Retriever,1953,2036
Labrador Retriever,1953,4152
Rottweiler,1953,74
Saint Bernard,1953,796
Saluki,1953,28
Samoyed,1953,1044
Schipperke,1953,824
Scottish Deerhound,1953,16
Scottish Terrier,1953,2939
Sealyham Terrier,1953,285
English Setter,1953,845
Gordon Setter,1953,381
Irish Setter,1953,2952
Shetland Sheepdog,1953,2779
Siberian Husky,1953,169
Skye Terrier,1953,109
American Water Spaniel,1953,116
Clumber Spaniel,1953,6
Spaniel (All Cockers),1953,44047
English Springer Spaniel,1953,5047
Irish Water Spaniel,1953,136
Welsh Springer Spaniel,1953,28
Standard Schnauzer,1953,245
Weimaraner,1953,4773
Cardigan Welsh Corgi,1953,83
Pembroke Welsh Corgi,1953,348
Welsh Terrier,1953,909
West Highland White Terrier,1953,366
Whippet,1953,140
Wirehaired Pointing Griffon,1953,15
Yorkshire Terrier,1953,230
American Staffordshire Terrier,1954,121
Affenpinscher,1954,45
Afghan Hound,1954,386
Airedale Terrier,1954,2017
Alaskan Malamute,1954,132
Basenji,1954,262
Basset Hound,1954,1914
Beagle,1954,53138
Bedlington Terrier,1954,478
Belgian Sheepdog,1954,121
Bernese Mountain Dog,1954,5
Black and Tan Coonhound,1954,121
Bloodhound,1954,195
Border Terrier,1954,30
Borzoi,1954,142
Boston Terrier,1954,14247
Bouvier des Flandres,1954,28
Boxer,1954,40667
Briard,1954,41
Brittany,1954,2425
Brussels Griffon,1954,124
Bull Terrier,1954,206
Bulldog,1954,3769
Bullmastiff,1954,97
Cairn Terrier,1954,632
Chihuahua,1954,24033
Chow Chow,1954,1021
Collie,1954,19548
Dachshund,1954,24565
Dalmatian,1954,2354
Dandie Dinmont Terrier,1954,85
Doberman Pinscher,1954,3968
English Toy Spaniel (Blenheim and Prince Charles),1954,53
Fox Terrier,1954,5535
American Foxhound,1954,2
French Bulldog,1954,151
German Shepherd,1954,17400
Giant Schnauzer,1954,42
Great Dane,1954,2459
Great Pyrenees,1954,160
Greyhound,1954,34
Irish Terrier,1954,564
Irish Wolfhound,1954,68
Italian Greyhound,1954,89
Japanese Chin,1954,152
Keeshond,1954,521
Kerry Blue Terrier,1954,1226
Kuvasz,1954,7
Lakeland Terrier,1954,79
Lhasa Apso,1954,68
Maltese,1954,193
Manchester Terrier,1954,41
Mastiff,1954,37
Miniature Pinscher,1954,2386
Miniature Schnauzer,1954,2087
Newfoundland,1954,177
Norwegian Elkhound,1954,757
Norwich Terrier,1954,171
Old English Sheepdog,1954,67
Otterhound,1954,3
Papillon,1954,108
Pekingese,1954,11848
Pointer,1954,380
German Shorthaired Pointer,1954,3220
Pomeranian,1954,9007
Poodle,1954,11852
Pug,1954,2359
Puli,1954,136
Chesapeake Bay Retriever,1954,791
Curly-Coated Retriever,1954,6
Flat-Coated Retriever,1954,2
Golden Retriever,1954,2109
Labrador Retriever,1954,4529
Rottweiler,1954,80
Saint Bernard,1954,943
Saluki,1954,34
Samoyed,1954,992
Schipperke,1954,910
Scottish Deerhound,1954,11
Scottish Terrier,1954,3033
Sealyham Terrier,1954,251
English Setter,1954,916
Gordon Setter,1954,249
Irish Setter,1954,2791
Shetland Sheepdog,1954,2935
Siberian Husky,1954,287
Skye Terrier,1954,117
American Water Spaniel,1954,155
Clumber Spaniel,1954,11
Spaniel (All Cockers),1954,37668
English Springer Spaniel,1954,5049
Irish Water Spaniel,1954,88
Welsh Springer Spaniel,1954,20
Standard Schnauzer,1954,273
Weimaraner,1954,6608
Cardigan Welsh Corgi,1954,84
Pembroke Welsh Corgi,1954,389
Welsh Terrier,1954,886
West Highland White Terrier,1954,423
Whippet,1954,143
Wirehaired Pointing Griffon,1954,33
Yorkshire Terrier,1954,294
American Staffordshire Terrier,1955,104
Affenpinscher,1955,48
Afghan Hound,1955,469
Airedale Terrier,1955,2157
Alaskan Malamute,1955,113
Basenji,1955,222
Basset Hound,1955,2103
Beagle,1955,55091
Bedlington Terrier,1955,503
Belgian Sheepdog,1955,159
Bernese Mountain Dog,1955,3
Black and Tan Coonhound,1955,132
Bloodhound,1955,227
Border Terrier,1955,21
Borzoi,1955,153
Boston Terrier,1955,14361
Bouvier des Flandres,1955,39
Boxer,1955,37854
Briard,1955,44
Brittany,1955,2719
Brussels Griffon,1955,131
Bull Terrier,1955,161
Bulldog,1955,3674
Bullmastiff,1955,85
Cairn Terrier,1955,622
Chihuahua,1955,27569
Chow Chow,1955,1011
Collie,1955,20607
Dachshund,1955,26026
Dalmatian,1955,2556
Dandie Dinmont Terrier,1955,83
Doberman Pinscher,1955,3721
English Toy Spaniel (Blenheim and Prince Charles),1955,87
Fox Terrier,1955,5290
American Foxhound,1955,1
French Bulldog,1955,119
German Shepherd,1955,21467
Giant Schnauzer,1955,20
Great Dane,1955,2189
Great Pyrenees,1955,170
Greyhound,1955,31
Irish Terrier,1955,535
Irish Wolfhound,1955,78
Italian Greyhound,1955,139
Japanese Chin,1955,174
Keeshond,1955,488
Kerry Blue Terrier,1955,1229
Kuvasz,1955,10
Lakeland Terrier,1955,89
Lhasa Apso,1955,71
Maltese,1955,205
Manchester Terrier,1955,43
Mastiff,1955,45
Miniature Pinscher,1955,2358
Miniature Schnauzer,1955,2422
Newfoundland,1955,175
Norwegian Elkhound,1955,691
Norwich Terrier,1955,177
Old English Sheepdog,1955,70
Papillon,1955,107
Pekingese,1955,12934
Pointer,1955,371
German Shorthaired Pointer,1955,3455
Pomeranian,1955,9421
Poodle,1955,16691
Pug,1955,2837
Puli,1955,113
Chesapeake Bay Retriever,1955,746
Curly-Coated Retriever,1955,6
Golden Retriever,1955,2142
Labrador Retriever,1955,4777
Rhodesian Ridgeback,1955,142
Rottweiler,1955,83
Saint Bernard,1955,857
Saluki,1955,53
Samoyed,1955,1006
Schipperke,1955,898
Scottish Deerhound,1955,10
Scottish Terrier,1955,2864
Sealyham Terrier,1955,260
English Setter,1955,708
Gordon Setter,1955,324
Irish Setter,1955,2433
Shetland Sheepdog,1955,3429
Siberian Husky,1955,254
Skye Terrier,1955,123
American Water Spaniel,1955,161
Clumber Spaniel,1955,6
Spaniel (All Cockers),1955,33413
English Springer Spaniel,1955,4923
Irish Water Spaniel,1955,89
Sussex Spaniel,1955,1
Welsh Springer Spaniel,1955,6
Standard Schnauzer,1955,277
Weimaraner,1955,7314
Cardigan Welsh Corgi,1955,120
Pembroke Welsh Corgi,1955,415
Welsh Terrier,1955,865
West Highland White Terrier,1955,458
Whippet,1955,146
Wirehaired Pointing Griffon,1955,31
Yorkshire Terrier,1955,392
American Staffordshire Terrier,1956,108
Affenpinscher,1956,54
Afghan Hound,1956,524
Airedale Terrier,1956,2323
Alaskan Malamute,1956,226
Basenji,1956,421
Basset Hound,1956,4013
Beagle,1956,69432
Bedlington Terrier,1956,596
Belgian Sheepdog,1956,213
Bernese Mountain Dog,1956,3
Black and Tan Coonhound,1956,193
Bloodhound,1956,323
Border Terrier,1956,39
Borzoi,1956,151
Boston Terrier,1956,16041
Bouvier des Flandres,1956,10
Boxer,1956,39502
Briard,1956,17
Brittany,1956,3313
Brussels Griffon,1956,137
Bull Terrier,1956,183
Bulldog,1956,3985
Bullmastiff,1956,93
Cairn Terrier,1956,752
Chihuahua,1956,36069
Chow Chow,1956,1032
Collie,1956,22735
Dachshund,1956,34105
Dalmatian,1956,2709
Dandie Dinmont Terrier,1956,97
Doberman Pinscher,1956,3884
English Toy Spaniel (Blenheim and Prince Charles),1956,60
Fox Terrier,1956,5775
French Bulldog,1956,118
German Shepherd,1956,29126
Giant Schnauzer,1956,34
Great Dane,1956,2480
Great Pyrenees,1956,145
Greyhound,1956,23
Irish Terrier,1956,569
Irish Wolfhound,1956,65
Italian Greyhound,1956,176
Japanese Chin,1956,178
Keeshond,1956,659
Kerry Blue Terrier,1956,1216
Kuvasz,1956,12
Lakeland Terrier,1956,88
Lhasa Apso,1956,119
Maltese,1956,298
Manchester Terrier,1956,69
Mastiff,1956,56
Miniature Pinscher,1956,2733
Miniature Schnauzer,1956,3264
Newfoundland,1956,251
Norwegian Elkhound,1956,985
Norwich Terrier,1956,186
Old English Sheepdog,1956,103
Otterhound,1956,2
Papillon,1956,118
Pekingese,1956,15540
Pointer,1956,364
German Shorthaired Pointer,1956,3916
Pomeranian,1956,11349
Poodle,1956,25041
Pug,1956,3877
Puli,1956,154
Chesapeake Bay Retriever,1956,803
Curly-Coated Retriever,1956,6
Flat-Coated Retriever,1956,4
Golden Retriever,1956,2604
Labrador Retriever,1956,5510
Rhodesian Ridgeback,1956,213
Rottweiler,1956,50
Saint Bernard,1956,990
Saluki,1956,73
Samoyed,1956,1253
Schipperke,1956,996
Scottish Deerhound,1956,7
Scottish Terrier,1956,3255
Sealyham Terrier,1956,271
English Setter,1956,826
Gordon Setter,1956,321
Irish Setter,1956,2630
Shetland Sheepdog,1956,3850
Siberian Husky,1956,425
Skye Terrier,1956,93
American Water Spaniel,1956,167
Clumber Spaniel,1956,3
Spaniel (All Cockers),1956,32517
English Springer Spaniel,1956,5378
Irish Water Spaniel,1956,103
Welsh Springer Spaniel,1956,22
Standard Schnauzer,1956,232
Weimaraner,1956,9701
Cardigan Welsh Corgi,1956,70
Pembroke Welsh Corgi,1956,486
Welsh Terrier,1956,987
West Highland White Terrier,1956,529
Whippet,1956,170
Wirehaired Pointing Griffon,1956,12
Yorkshire Terrier,1956,504
American Staffordshire Terrier,1957,101
Affenpinscher,1957,64
Afghan Hound,1957,636
Airedale Terrier,1957,2033
Alaskan Malamute,1957,244
Basenji,1957,651
Basset Hound,1957,5207
Beagle,1957,68413
Bedlington Terrier,1957,483
Belgian Sheepdog,1957,169
Bernese Mountain Dog,1957,6
Black and Tan Coonhound,1957,151
Bloodhound,1957,213
Border Terrier,1957,53
Borzoi,1957,162
Boston Terrier,1957,15052
Bouvier des Flandres,1957,26
Boxer,1957,33392
Briard,1957,43
Brittany,1957,3614
Brussels Griffon,1957,164
Bull Terrier,1957,149
Bulldog,1957,3758
Bullmastiff,1957,103
Cairn Terrier,1957,776
Chihuahua,1957,40526
Chow Chow,1957,1025
Collie,1957,21201
Dachshund,1957,37336
Dalmatian,1957,2468
Dandie Dinmont Terrier,1957,93
Doberman Pinscher,1957,3723
English Toy Spaniel (Blenheim and Prince Charles),1957,66
Fox Terrier,1957,5736
American Foxhound,1957,2
French Bulldog,1957,138
German Shepherd,1957,31387
Giant Schnauzer,1957,38
Great Dane,1957,2625
Great Pyrenees,1957,137
Greyhound,1957,33
Irish Terrier,1957,526
Irish Wolfhound,1957,74
Italian Greyhound,1957,182
Japanese Chin,1957,171
Keeshond,1957,600
Kerry Blue Terrier,1957,1166
Kuvasz,1957,10
Lakeland Terrier,1957,120
Lhasa Apso,1957,146
Maltese,1957,302
Manchester Terrier,1957,40
Mastiff,1957,30
Miniature Pinscher,1957,2638
Miniature Schnauzer,1957,3622
Newfoundland,1957,226
Norwegian Elkhound,1957,1113
Norwich Terrier,1957,164
Old English Sheepdog,1957,83
Otterhound,1957,13
Papillon,1957,118
Pekingese,1957,16541
Pointer,1957,309
German Shorthaired Pointer,1957,3917
Pomeranian,1957,11644
Poodle,1957,33253
Pug,1957,4303
Puli,1957,109
Chesapeake Bay Retriever,1957,823
Curly-Coated Retriever,1957,6
Flat-Coated Retriever,1957,19
Golden Retriever,1957,2527
Labrador Retriever,1957,5753
Rhodesian Ridgeback,1957,213
Rottweiler,1957,82
Saint Bernard,1957,997
Saluki,1957,15
Samoyed,1957,1313
Schipperke,1957,935
Scottish Deerhound,1957,8
Scottish Terrier,1957,3128
Sealyham Terrier,1957,253
English Setter,1957,731
Gordon Setter,1957,323
Irish Setter,1957,2479
Shetland Sheepdog,1957,4146
Siberian Husky,1957,398
Skye Terrier,1957,114
American Water Spaniel,1957,153
Clumber Spaniel,1957,6
Spaniel (All Cockers),1957,27415
English Springer Spaniel,1957,4811
Irish Water Spaniel,1957,84
Sussex Spaniel,1957,6
Welsh Springer Spaniel,1957,6
Standard Schnauzer,1957,228
Weimaraner,1957,10011
Cardigan Welsh Corgi,1957,65
Pembroke Welsh Corgi,1957,569
Welsh Terrier,1957,919
West Highland White Terrier,1957,599
Whippet,1957,160
Wirehaired Pointing Griffon,1957,7
Yorkshire Terrier,1957,515
American Staffordshire Terrier,1958,123
Affenpinscher,1958,64
Afghan Hound,1958,794
Airedale Terrier,1958,2026
Alaskan Malamute,1958,238
Basenji,1958,726
Basset Hound,1958,7008
Beagle,1958,68434
Bedlington Terrier,1958,573
Belgian Sheepdog,1958,213
Black and Tan Coonhound,1958,133
Bloodhound,1958,217
Border Terrier,1958,47
Borzoi,1958,115
Boston Terrier,1958,14165
Bouvier des Flandres,1958,18
Boxer,1958,25303
Briard,1958,22
Brittany,1958,3946
Brussels Griffon,1958,136
Bull Terrier,1958,191
Bulldog,1958,3404
Bullmastiff,1958,111
Cairn Terrier,1958,872
Chihuahua,1958,45843
Chow Chow,1958,889
Collie,1958,19833
Dachshund,1958,40100
Dalmatian,1958,2268
Dandie Dinmont Terrier,1958,91
Doberman Pinscher,1958,3654
English Toy Spaniel (Blenheim and Prince Charles),1958,63
Fox Terrier,1958,6294
French Bulldog,1958,89
German Shepherd,1958,32451
Giant Schnauzer,1958,20
Great Dane,1958,2322
Great Pyrenees,1958,123
Greyhound,1958,36
Harrier,1958,12
Irish Terrier,1958,418
Irish Wolfhound,1958,87
Italian Greyhound,1958,227
Japanese Chin,1958,222
Keeshond,1958,589
Kerry Blue Terrier,1958,1180
Kuvasz,1958,3
Lakeland Terrier,1958,123
Lhasa Apso,1958,193
Maltese,1958,438
Manchester Terrier,1958,55
Mastiff,1958,60
Miniature Pinscher,1958,2521
Miniature Schnauzer,1958,4302
Newfoundland,1958,198
Norwegian Elkhound,1958,1143
Norwich Terrier,1958,208
Old English Sheepdog,1958,106
Otterhound,1958,24
Papillon,1958,145
Pekingese,1958,17333
Pointer,1958,327
German Shorthaired Pointer,1958,3996
Pomeranian,1958,12271
Poodle,1958,43127
Pug,1958,4698
Puli,1958,115
Chesapeake Bay Retriever,1958,757
Flat-Coated Retriever,1958,1
Golden Retriever,1958,2761
Labrador Retriever,1958,6111
Rhodesian Ridgeback,1958,254
Rottweiler,1958,58
Saint Bernard,1958,1246
Saluki,1958,44
Samoyed,1958,1260
Schipperke,1958,1051
Scottish Deerhound,1958,13
Scottish Terrier,1958,3083
Sealyham Terrier,1958,246
English Setter,1958,662
Gordon Setter,1958,271
Irish Setter,1958,2442
Shetland Sheepdog,1958,4260
Siberian Husky,1958,517
Skye Terrier,1958,83
American Water Spaniel,1958,146
Clumber Spaniel,1958,4
Spaniel (All Cockers),1958,23714
English Springer Spaniel,1958,4518
Irish Water Spaniel,1958,128
Welsh Springer Spaniel,1958,28
Standard Schnauzer,1958,176
Weimaraner,1958,9349
Cardigan Welsh Corgi,1958,57
Pembroke Welsh Corgi,1958,560
Welsh Terrier,1958,980
West Highland White Terrier,1958,605
Whippet,1958,232
Wirehaired Pointing Griffon,1958,36
Yorkshire Terrier,1958,799
American Staffordshire Terrier,1959,106
Affenpinscher,1959,58
Afghan Hound,1959,691
Airedale Terrier,1959,1912
Alaskan Malamute,1959,248
Basenji,1959,906
Basset Hound,1959,8055
Beagle,1959,62948
Bedlington Terrier,1959,602
Belgian Sheepdog,1959,202
Belgian Tervuren,1959,26
Bernese Mountain Dog,1959,7
Black and Tan Coonhound,1959,90
Bloodhound,1959,294
Border Terrier,1959,64
Borzoi,1959,178
Boston Terrier,1959,13500
Bouvier des Flandres,1959,44
Boxer,1959,19733
Briard,1959,35
Brittany,1959,4777
Brussels Griffon,1959,179
Bull Terrier,1959,119
Bulldog,1959,3509
Bullmastiff,1959,113
Cairn Terrier,1959,929
Chihuahua,1959,48271
Chow Chow,1959,866
Collie,1959,18459
Dachshund,1959,43488
Dalmatian,1959,2060
Dandie Dinmont Terrier,1959,121
Doberman Pinscher,1959,3652
English Toy Spaniel (Blenheim and Prince Charles),1959,33
Fox Terrier,1959,6562
French Bulldog,1959,61
German Shepherd,1959,33735
Giant Schnauzer,1959,46
Great Dane,1959,2390
Great Pyrenees,1959,156
Greyhound,1959,39
Harrier,1959,3
Irish Terrier,1959,451
Irish Wolfhound,1959,64
Italian Greyhound,1959,302
Japanese Chin,1959,248
Keeshond,1959,661
Kerry Blue Terrier,1959,1137
Kuvasz,1959,7
Lakeland Terrier,1959,123
Lhasa Apso,1959,212
Maltese,1959,567
Manchester Terrier,1959,2788
Mastiff,1959,61
Miniature Pinscher,1959,2380
Miniature Schnauzer,1959,5544
Newfoundland,1959,219
Norwegian Elkhound,1959,1177
Norwich Terrier,1959,162
Old English Sheepdog,1959,112
Otterhound,1959,29
Papillon,1959,127
Pekingese,1959,18661
Pointer,1959,337
German Shorthaired Pointer,1959,4068
German Wirehaired Pointer,1959,251
Pomeranian,1959,13086
Poodle,1959,58661
Pug,1959,5234
Puli,1959,162
Chesapeake Bay Retriever,1959,870
Flat-Coated Retriever,1959,9
Golden Retriever,1959,2754
Labrador Retriever,1959,6520
Rhodesian Ridgeback,1959,212
Rottweiler,1959,96
Saint Bernard,1959,1434
Saluki,1959,42
Samoyed,1959,1299
Schipperke,1959,920
Scottish Deerhound,1959,8
Scottish Terrier,1959,3173
Sealyham Terrier,1959,233
English Setter,1959,784
Gordon Setter,1959,341
Irish Setter,1959,2403
Shetland Sheepdog,1959,4608
Siberian Husky,1959,513
Silky Terrier,1959,670
Skye Terrier,1959,90
American Water Spaniel,1959,145
Clumber Spaniel,1959,5
Spaniel (All Cockers),1959,20389
English Springer Spaniel,1959,4305
Irish Water Spaniel,1959,67
Welsh Springer Spaniel,1959,12
Standard Schnauzer,1959,251
Weimaraner,1959,8506
Cardigan Welsh Corgi,1959,56
Pembroke Welsh Corgi,1959,586
Welsh Terrier,1959,917
West Highland White Terrier,1959,667
Whippet,1959,226
Wirehaired Pointing Griffon,1959,7
Yorkshire Terrier,1959,1084
American Staffordshire Terrier,1960,112
Affenpinscher,1960,34
Afghan Hound,1960,668
Airedale Terrier,1960,1730
Alaskan Malamute,1960,265
Australian Terrier,1960,323
Basenji,1960,873
Basset Hound,1960,8782
Beagle,1960,54170
Bedlington Terrier,1960,518
Belgian Sheepdog,1960,146
Belgian Tervuren,1960,8
Bernese Mountain Dog,1960,10
Black and Tan Coonhound,1960,111
Bloodhound,1960,198
Border Terrier,1960,43
Borzoi,1960,148
Boston Terrier,1960,12209
Bouvier des Flandres,1960,46
Boxer,1960,14228
Briard,1960,17
Brittany,1960,5000
Brussels Griffon,1960,115
Bull Terrier,1960,116
Bulldog,1960,3098
Bullmastiff,1960,130
Cairn Terrier,1960,982
Chihuahua,1960,44600
Chow Chow,1960,660
Collie,1960,16132
Dachshund,1960,42727
Dalmatian,1960,1785
Dandie Dinmont Terrier,1960,110
Doberman Pinscher,1960,3218
English Toy Spaniel (Blenheim and Prince Charles),1960,49
Fox Terrier,1960,7036
American Foxhound,1960,5
French Bulldog,1960,106
German Shepherd,1960,33701
Giant Schnauzer,1960,14
Great Dane,1960,1978
Great Pyrenees,1960,130
Greyhound,1960,33
Harrier,1960,6
Irish Terrier,1960,404
Irish Wolfhound,1960,75
Italian Greyhound,1960,329
Japanese Chin,1960,223
Keeshond,1960,576
Kerry Blue Terrier,1960,929
Komondor,1960,1
Lakeland Terrier,1960,107
Lhasa Apso,1960,245
Maltese,1960,490
Manchester Terrier,1960,2149
Mastiff,1960,48
Miniature Pinscher,1960,2068
Miniature Schnauzer,1960,5758
Newfoundland,1960,177
Norwegian Elkhound,1960,1101
Norwich Terrier,1960,158
Old English Sheepdog,1960,149
Otterhound,1960,8
Papillon,1960,145
Pekingese,1960,19209
Pointer,1960,293
German Shorthaired Pointer,1960,3840
German Wirehaired Pointer,1960,123
Pomeranian,1960,11893
Poodle,1960,73291
Pug,1960,5080
Puli,1960,152
Chesapeake Bay Retriever,1960,703
Flat-Coated Retriever,1960,17
Golden Retriever,1960,2445
Labrador Retriever,1960,6549
Rhodesian Ridgeback,1960,167
Rottweiler,1960,77
Saint Bernard,1960,1473
Saluki,1960,34
Samoyed,1960,1242
Schipperke,1960,880
Scottish Deerhound,1960,10
Scottish Terrier,1960,3031
Sealyham Terrier,1960,158
English Setter,1960,646
Gordon Setter,1960,292
Irish Setter,1960,2130
Shetland Sheepdog,1960,4371
Siberian Husky,1960,526
Silky Terrier,1960,184
Skye Terrier,1960,87
American Water Spaniel,1960,128
Clumber Spaniel,1960,4
Spaniel (All Cockers),1960,17299
English Springer Spaniel,1960,4027
Irish Water Spaniel,1960,100
Welsh Springer Spaniel,1960,8
Standard Schnauzer,1960,211
Vizsla,1960,325
Weimaraner,1960,6860
Cardigan Welsh Corgi,1960,77
Pembroke Welsh Corgi,1960,523
Welsh Terrier,1960,899
West Highland White Terrier,1960,625
Whippet,1960,184
Wirehaired Pointing Griffon,1960,11
Yorkshire Terrier,1960,1181
American Staffordshire Terrier,1961,115
Affenpinscher,1961,36
Afghan Hound,1961,831
Airedale Terrier,1961,1961
Alaskan Malamute,1961,355
Australian Terrier,1961,194
Basenji,1961,1049
Basset Hound,1961,10218
Beagle,1961,53069
Bedlington Terrier,1961,622
Belgian Sheepdog,1961,179
Belgian Tervuren,1961,20
Bernese Mountain Dog,1961,7
Black and Tan Coonhound,1961,98
Bloodhound,1961,283
Border Terrier,1961,70
Borzoi,1961,219
Boston Terrier,1961,12840
Bouvier des Flandres,1961,59
Boxer,1961,12549
Briard,1961,31
Brittany,1961,5476
Brussels Griffon,1961,143
Bull Terrier,1961,143
Bulldog,1961,3364
Bullmastiff,1961,160
Cairn Terrier,1961,1076
Chihuahua,1961,46089
Chow Chow,1961,722
Collie,1961,16842
Dachshund,1961,46185
Dalmatian,1961,2291
Dandie Dinmont Terrier,1961,122
Doberman Pinscher,1961,3619
English Toy Spaniel (Blenheim and Prince Charles),1961,29
Fox Terrier,1961,7855
American Foxhound,1961,1
French Bulldog,1961,88
German Shepherd,1961,40412
Giant Schnauzer,1961,20
Great Dane,1961,2483
Great Pyrenees,1961,218
Greyhound,1961,26
Harrier,1961,7
Irish Terrier,1961,370
Irish Wolfhound,1961,82
Italian Greyhound,1961,430
