Breed,Year,Count
West Highland White Terrier,1928,60
Whippet,1928,54
Wirehaired Pointing Griffon,1928,9
Yorkshire Terrier,1928,31
Eskimo,1928,1
Airedale Terrier,1929,526
Basset Hound,1929,8
Beagle,1929,1878
Bedlington Terrier,1929,17
Belgian Sheepdog,1929,20
Bloodhound,1929,37
Border Terrier,1929,1
Borzoi,1929,323
Boston Terrier,1929,10731
Boxer,1929,2
Briard,1929,5
Brussels Griffon,1929,59
Bull Terrier,1929,235
Bulldog,1929,1103
Cairn Terrier,1929,205
Chihuahua,1929,92
Chow Chow,1929,3720
Collie,1929,1613
Dachshund,1929,105
Dalmatian,1929,72
Dandie Dinmont Terrier,1929,13
Doberman Pinscher,1929,573
English Toy Spaniel (Blenheim and Prince Charles),1929,67
Fox Terrier,1929,4048
American Foxhound,1929,2
French Bulldog,1929,398
German Shepherd,1929,9169
Great Dane,1929,584
Greyhound,1929,12
Irish Terrier,1929,639
Irish Wolfhound,1929,82
Italian Greyhound,1929,8
Japanese Chin,1929,9
Kerry Blue Terrier,1929,74
Maltese,1929,3
Manchester Terrier,1929,128
Mastiff,1929,1
Miniature Pinscher,1929,1
Miniature Schnauzer,1929,69
Newfoundland,1929,175
Norwegian Elkhound,1929,26
Old English Sheepdog,1929,62
Otterhound,1929,3
Papillon,1929,3
Pekingese,1929,2784
Pointer,1929,139
Pomeranian,1929,1235
Poodle,1929,39
Pug,1929,36
Chesapeake Bay Retriever,1929,54
Curly-Coated Retriever,1929,24
Saint Bernard,1929,276
Saluki,1929,1
Samoyed,1929,119
Schipperke,1929,64
Scottish Deerhound,1929,8
Scottish Terrier,1929,1370
Sealyham Terrier,1929,350
English Setter,1929,382
Gordon Setter,1929,57
Irish Setter,1929,580
Shetland Sheepdog,1929,11
Skye Terrier,1929,5
Clumber Spaniel,1929,15
Spaniel (All Cockers),1929,2092
English Springer Spaniel,1929,1254
Field Spaniel,1929,1
Irish Water Spaniel,1929,12
Standard Schnauzer,1929,202
Welsh Terrier,1929,63
West Highland White Terrier,1929,49
Whippet,1929,36
Wirehaired Pointing Griffon,1929,6
Yorkshire Terrier,1929,34
Eskimo,1929,1
Afghan Hound,1930,1
Airedale Terrier,1930,437
Basset Hound,1930,65
