Breed,Year,Count
Daschund-XX (smooth),1928,83.0
Dachshund,1928,83.0
Dalmatian,1928,96.0
Dandie Dinmont Terrier,1928,16.0
Doberman Pinscher,1928,593.0
English Toy Spaniel (Blenheim and Prince Charles),1928,48.0
English Toy Spaniel (All),1928,48.0
Fox Terrier (Smooth),1928,309.0
Fox Terrier (Wire),1928,3194.0
Fox Terrier,1928,3503.0
American Foxhound,1928,4.0
French Bulldog,1928,394.0
German Shepherd,1928,15150.0
Great Dane,1928,487.0
Greyhound,1928,16.0
Irish Terrier,1928,608.0
Irish Wolfhound,1928,58.0
Italian Greyhound,1928,3.0
Japanese Chin,1928,3.0
Kerry Blue Terrier,1928,61.0
Maltese,1928,4.0
Manchester Terrier-XX,1928,12.0
Manchester Terrier (Toy),1928,122.0
Manchester Terrier,1928,134.0
Mastiff,1928,4.0
Miniature Schnauzer,1928,40.0
Newfoundland,1928,156.0
Norwegian Elkhound,1928,28.0
Old English Sheepdog,1928,38.0
Otterhound,1928,2.0
Papillon,1928,20.0
Pekingese,1928,2379.0
Pointer,1928,83.0
Pomeranian,1928,1215.0
Poodle (miniature),1928,14.0
Poodle (toy),1928,14.0
Poodle,1928,28.0
Pug,1928,24.0
Chesapeake Bay Retriever,1928,31.0
Curly-Coated Retriever,1928,15.0
Saint Bernard,1928,264.0
Samoyed,1928,85.0
Schipperke,1928,70.0
Scottish Deerhound,1928,9.0
Scottish Terrier,1928,1058.0
Sealyham Terrier,1928,361.0
English Setter,1928,377.0
Gordon Setter,1928,46.0
Irish Setter,1928,581.0
Shetland Sheepdog,1928,7.0
Skye Terrier,1928,3.0
Clumber Spaniel,1928,1.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1928,1824.0
Spaniel (All Cockers),1928,1824.0
English Springer Spaniel,1928,1243.0
Irish Water Spaniel,1928,28.0
Sussex Spaniel,1928,2.0
Standard Schnauzer,1928,246.0
Welsh Terrier,1928,51.0
West Highland White Terrier,1928,60.0
Whippet,1928,54.0
Wirehaired Pointing Griffon,1928,9.0
Yorkshire Terrier,1928,31.0
Eskimo,1928,1.0
Airedale Terrier,1929,526.0
Basset Hound,1929,8.0
Beagle,1929,1878.0
Bedlington Terrier,1929,17.0
Belgian Sheepdog,1929,20.0
Bloodhound,1929,37.0
Border Terrier,1929,1.0
Borzoi,1929,323.0
Boston Terrier,1929,10731.0
Boxer,1929,2.0
Briard,1929,5.0
Brussels Griffon,1929,59.0
Bull Terrier,1929,235.0
Bulldog,1929,1103.0
Cairn Terrier,1929,205.0
Chihuahua,1929,92.0
Chow Chow,1929,3720.0
Collie,1929,1613.0
Daschund-XX (smooth),1929,105.0
Dachshund,1929,105.0
Dalmatian,1929,72.0
Dandie Dinmont Terrier,1929,13.0
Doberman Pinscher,1929,573.0
English Toy Spaniel (Blenheim and Prince Charles),1929,67.0
English Toy Spaniel (All),1929,67.0
Fox Terrier (Smooth),1929,313.0
Fox Terrier (Wire),1929,3735.0
Fox Terrier,1929,4048.0
American Foxhound,1929,2.0
French Bulldog,1929,398.0
German Shepherd,1929,9169.0
Great Dane,1929,584.0
Greyhound,1929,12.0
Irish Terrier,1929,639.0
Irish Wolfhound,1929,82.0
Italian Greyhound,1929,8.0
Japanese Chin,1929,9.0
Kerry Blue Terrier,1929,74.0
Maltese,1929,3.0
Manchester Terrier-XX,1929,9.0
Manchester Terrier (Toy),1929,119.0
Manchester Terrier,1929,128.0
Mastiff,1929,1.0
Miniature Pinscher,1929,1.0
Miniature Schnauzer,1929,69.0
Newfoundland,1929,175.0
Norwegian Elkhound,1929,26.0
Old English Sheepdog,1929,62.0
Otterhound,1929,3.0
Papillon,1929,3.0
Pekingese,1929,2784.0
Pointer,1929,139.0
Pomeranian,1929,1235.0
Poodle (miniature),1929,23.0
Poodle (toy),1929,16.0
Poodle,1929,39.0
Pug,1929,36.0
Chesapeake Bay Retriever,1929,54.0
Curly-Coated Retriever,1929,24.0
Saint Bernard,1929,276.0
Saluki,1929,1.0
Samoyed,1929,119.0
Schipperke,1929,64.0
Scottish Deerhound,1929,8.0
Scottish Terrier,1929,1370.0
Sealyham Terrier,1929,350.0
English Setter,1929,382.0
Gordon Setter,1929,57.0
Irish Setter,1929,580.0
Shetland Sheepdog,1929,11.0
Skye Terrier,1929,5.0
Clumber Spaniel,1929,15.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1929,2092.0
Spaniel (All Cockers),1929,2092.0
English Springer Spaniel,1929,1254.0
Field Spaniel,1929,1.0
Irish Water Spaniel,1929,12.0
Standard Schnauzer,1929,202.0
Welsh Terrier,1929,63.0
West Highland White Terrier,1929,49.0
Whippet,1929,36.0
Wirehaired Pointing Griffon,1929,6.0
Yorkshire Terrier,1929,34.0
Eskimo,1929,1.0
Afghan Hound,1930,1.0
Airedale Terrier,1930,437.0
Basset Hound,1930,65.0
Beagle,1930,2694.0
Bedlington Terrier,1930,16.0
Belgian Sheepdog,1930,14.0
Bloodhound,1930,67.0
Border Terrier,1930,5.0
Borzoi,1930,197.0
Boston Terrier,1930,10501.0
Boxer,1930,11.0
Briard,1930,13.0
Brussels Griffon,1930,49.0
Bull Terrier,1930,267.0
Bulldog,1930,1202.0
Cairn Terrier,1930,348.0
Chihuahua,1930,146.0
Chow Chow,1930,3782.0
Collie,1930,1493.0
Dachshund-XX  (long-haired),1930,1.0
Daschund-XX (smooth),1930,164.0
Daschund-XX (wire-haired),1930,1.0
Dachshund,1930,166.0
Dalmatian,1930,77.0
Dandie Dinmont Terrier,1930,17.0
Doberman Pinscher,1930,581.0
English Toy Spaniel (Blenheim and Prince Charles),1930,98.0
English Toy Spaniel (All),1930,98.0
Fox Terrier (Smooth),1930,324.0
Fox Terrier (Wire),1930,4335.0
